指标,股票代码,nan,2025-09-30,2025-06-30,2024-12-31,2024-09-30,2025-03-31
流动比,300710,,2.7358,2.7607,2.8093,2.3362
速动比,300710,,2.414,2.432,2.5358,2.1073
存货周转,300710,,3.1961,2.0727,1.0629,4.9216
应收周转,300710,,0.9824,0.6193,0.2798,1.5242
BVPS,300516,,7.2156,7.1444,7.1238,7.1523
ROE,300516,,1.67,0.73,-0.46,2.41
净利率,300516,,6.0987,4.7701,-8.7981,5.7969
毛利率,300516,,--,--,--,--
净利,300516,,1.2021,0.5389,-0.3438,1.7933
负债率,300516,,31.9979,28.2226,25.8121,24.6337
流动比,300516,,2.5316,2.811,3.0318,3.3996
速动比,300516,,2.0442,2.2434,2.4774,2.813
存货周转,300516,,0.8942,0.5187,0.2027,1.3835
应收周转,300516,,0.5708,0.335,0.1256,1.1237
BVPS,300765,,2.9651,3.0557,3.1024,3.2009
ROE,300765,,-0.65,-0.07,-0.73,1.44
净利率,300765,,-19.4756,-17.7975,-30.1633,-15.308
毛利率,300765,,--,--,--,--
净利,300765,,-5.0723,-3.0654,-2.3503,-5.2035
负债率,300765,,32.943,30.3821,28.4726,25.343
流动比,300765,,1.5439,1.6501,1.774,1.9539
速动比,300765,,1.304,1.4017,1.5146,1.6759
存货周转,300765,,2.2478,1.5601,0.6956,3.6937
应收周转,300765,,4.0814,2.6634,1.3259,5.6074
BVPS,300086,,2.3589,2.4393,2.5379,2.5604
ROE,300086,,-9.2,-4.98,-0.86,-18.97
净利率,300086,,-30.064,-23.7078,-9.1234,-47.4658
毛利率,300086,,--,--,--,--
净利,300086,,-5.0912,-2.8402,-0.5143,-10.838
负债率,300086,,42.8568,41.7162,42.6166,41.0219
流动比,300086,,0.6726,0.7435,0.8556,0.8939
速动比,300086,,0.3111,0.3728,0.5147,0.5159
存货周转,300086,,0.8594,0.6056,0.3024,0.9963
应收周转,300086,,5.6594,3.7669,1.818,4.6282
BVPS,301338,,14.8943,14.3827,14.2883,13.9714
ROE,301338,,7.74,4.44,2.22,4.81
净利率,301338,,15.8712,15.0601,17.1456,8.3595
毛利率,301338,,--,--,--,--
净利,301338,,4.9087,2.8274,1.43,3.2118
负债率,301338,,41.2191,39.2067,36.6129,35.7876
流动比,301338,,1.9324,2.0093,2.1503,2.2179
速动比,301338,,1.3169,1.3438,1.5101,1.6409
存货周转,301338,,0.7874,0.4738,0.2162,1.2794
应收周转,301338,,5.3824,3.5336,1.5928,5.2902
BVPS,300076,,2.1291,2.1506,2.1733,2.1963
ROE,300076,,-3.51,-2.5,-1.04,-6.09
净利率,300076,,-49.984,-56.6909,-48.2913,-41.024
毛利率,300076,,--,--,--,--
净利,300076,,-3.1342,-2.2517,-0.9413,-5.4317
负债率,300076,,10.3091,9.2072,10.0735,11.0944
流动比,300076,,6.554,7.4897,6.8117,6.2501
速动比,300076,,5.9286,6.9691,6.4828,5.951
存货周转,300076,,1.2087,0.9372,0.5748,3.5093
应收周转,300076,,0.6938,0.4309,0.2053,1.3308
BVPS,688648,,16.3995,16.5655,11.2965,11.4609
ROE,688648,,30.15,30.84,-1.45,-9.49
净利率,688648,,82.8194,160.2292,-9.7189,-16.2079
毛利率,688648,,--,--,--,--
净利,688648,,22.4757,23.3172,-0.8296,-5.3212
负债率,688648,,31.2306,29.9857,41.2382,43.1327
流动比,688648,,2.5555,2.7501,1.78,1.7218
速动比,688648,,2.0308,2.342,1.5571,1.4766
存货周转,688648,,1.86,1.2106,0.844,2.8464
应收周转,688648,,2.7286,1.4172,0.5716,3.1564
BVPS,300304,,4.0482,3.9147,3.7113,3.5909
ROE,300304,,9.88,6.8,3.14,13.36
净利率,300304,,23.0592,22.568,20.6989,20.1851
毛利率,300304,,--,--,--,--
净利,300304,,8.9619,5.9129,2.6202,11.225
负债率,300304,,22.1388,21.3644,23.3055,21.3271
流动比,300304,,3.6475,3.8356,3.5197,3.8805
速动比,300304,,3.048,3.2206,2.969,3.282
存货周转,300304,,2.1756,1.5046,0.7519,3.466
应收周转,300304,,2.9448,1.8848,0.914,3.9696
BVPS,002133,,4.0099,4.0618,3.9472,4.0418
ROE,002133,,3.22,3.04,-1.33,-34.65
净利率,002133,,2.0801,2.5709,-4.2449,-26.2884
毛利率,002133,,--,--,--,--
净利,002133,,0.9235,0.8404,-0.3803,-10.1625
负债率,002133,,58.9273,60.7076,67.2224,68.6987
流动比,002133,,1.7581,1.7079,1.5019,1.4753
速动比,002133,,0.6155,0.5969,0.4165,0.4086
存货周转,002133,,0.7357,0.5404,0.1488,0.6171
应收周转,002133,,33.4498,25.8946,7.8304,24.9773
BVPS,600076,,2.8759,2.9416,3.0141,3.0488
